100000-100000000011982031700016	中国机械设备工程股份有限公司
100000-100000000011983013100011	中国同辐股份有限公司
100000-100000000011983070600020	中国洲际新资源集团股份公司
100000-100000000011983091600011	中国有色金属建设股份有限公司
100000-100000000011983103100015	中国银行股份有限公司
100000-10000000001198506240001X	中国建材股份有限公司
100000-100000000011985112200017	中国工商银行股份有限公司
100000-100000000011985120300018	中国邮政速递物流股份有限公司
100000-100000000011986092500016	中信房地产股份有限公司
100000-100000000011986102000016	中国服装股份有限公司
100000-100000000011986121800019	中国农业银行股份有限公司
100000-100000000011987033000016	交通银行股份有限公司
100000-100000000011987042000018	中信银行股份有限公司
100000-100000000011987062200017	中国中材股份有限公司
100000-10000000001198803210001X	中国平安保险(集团)股份有限公司
100000-100000000011989041100016	中国蓝星(集团)股份有限公司
100000-100000000011989041800012	中国生物技术股份有限公司
100000-100000000011991051300014	中国太平洋保险(集团)股份有限公司
100000-100000000011992061800017	中国光大银行股份有限公司
100000-100000000011992101400019	华夏银行股份有限公司
